date,country,pagePathPlusQueryString,sessions,totalUsers,newUsers,screenPageViews,eventCount,conversions,run_timestamp
2025-08-23,Vietnam,/,6,3,2,24,63,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/about.html,3,2,1,6,22,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/blog.html,3,2,0,3,6,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/deals.html,3,2,0,11,33,0,2025-08-24 09:18:31 UTC
2025-08-23,,/?gtm_latency=1,2,2,2,2,6,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/affiliate-disclosure.html,2,2,0,1,4,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/contact.html,2,2,0,1,5,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/deals.html?category=smart-home,1,1,0,0,1,0,2025-08-24 09:18:31 UTC
2025-08-23,Vietnam,/pages/privacy.html,1,1,0,1,3,0,2025-08-24 09:18:31 UTC
